word,edges
amazing,17
angel,17
apart,17
besides,17
board game,17
bored,17
come on,17
concentrate,17
cooler,17
credit card,17
daylight,17
director,17
disappear,17
educational,17
fever,17
folder,17
given,17
golf,17
helicopter,17
include,17
invite,17
nearly,17
nervous,17
nick,17
peaceful,17
pour,17
pyramid,17
roundabout,17
rude,17
sleepy,17
steak,17
successful,17
they,17
this,17
tiger,17
unhappy,17
whale,17
admire,18
aisle,18
appreciate,18
apron,18
artificial,18
automatic,18
awake,18
basketball,18
breakfast,18
breeze,18
bury,18
bus stop,18
cheer,18
cinema,18
click,18
comic,18
complain,18
crisp,18
disco,18
exactly,18
famous,18
friendship,18
frightening,18
fry,18
guess,18
gym,18
hamburger,18
hobby,18
invention,18
less,18
living room,18
london,18
maths,18
nowhere,18
panic,18
paragraph,18
rainbow,18
several,18
solve,18
splash,18
superlative,18
treasure,18
uncle,18
unfair,18
wake,18
wooden,18
across,19
almost,19
awful,19
barbecue,19
bike,19
butterfly,19
car park,19
chemist,19
every,19
exit,19
flood,19
ham,19
hardly,19
hero,19
hockey,19
hug,19
intelligent,19
jeans,19
kingdom,19
menu,19
modern,19
national,19
notebook,19
only,19
personality,19
post office,19
prediction,19
prefer,19
printer,19
racket,19
scream,19
seem,19
shut,19
sir,19
skate,19
tenth,19
torch,19
turn on,19
us,19
welcome,19
again,20
armchair,20
because,20
blank,20
by,20
classic,20
else,20
enough,20
everywhere,20
excuse,20
fairly,20
favourite,20
frighten,20
glasses,20
jelly,20
landscape,20
leisure,20
lovely,20
manager,20
necklace,20
pat,20
put on,20
really,20
roast,20
scientist,20
six,20
sore,20
spider,20
suggestion,20
tired,20
ugly,20
underwater,20
usual,20
violin,20
visitor,20
waiter,20
waterfall,20
wisdom,20
worst,20
alien,21
alphabet,21
amusement,21
architecture,21
bean,21
chart,21
chat,21
continent,21
contrast,21
cruise,21
dictionary,21
emergency,21
ending,21
enjoy,21
explore,21
fantastic,21
from,21
goat,21
grandfather,21
impossible,21
jungle,21
knee,21
late,21
lemon,21
lively,21
merry,21
often,21
polite,21
pronounce,21
recent,21
rhythm,21
robbery,21
shampoo,21
skiing,21
somewhere,21
spoon,21
spy,21
strategy,21
summer,21
surfing,21
sweetheart,21
while,21
acceptable,22
an,22
anxious,22
baseball,22
bookstore,22
bye,22
comfortable,22
compare,22
curry,22
dentist,22
everyday,22
fall,22
festival,22
flea,22
following,22
girlfriend,22
glue,22
guitar,22
homework,22
hop,22
interview,22
jellyfish,22
jet,22
me,22
mum,22
rat,22
raw,22
satisfy,22
scissors,22
singular,22
skating,22
snack,22
south,22
sweater,22
tennis,22
terrify,22
umbrella,22
wealth,22
west,22
wife,22
advertising,23
advice,23
album,23
argue,23
athlete,23
bake,23
battery,23
bin,23
broken,23
description,23
eagle,23
east,23
everyone,23
exhibition,23
farmer,23
guest,23
imagine,23
lover,23
medical,23
mix,23
mug,23
ok,23
perfume,23
popular,23
quit,23
quite,23
railway,23
ready,23
refer,23
remote,23
reporter,23
rob,23
robot,23
rucksack,23
scenery,23
smile,23
subway,23
sunlight,23
through,23
tour,23
tram,23
unknown,23
where,23
above,24
belong,24
brave,24
clerk,24
cushion,24
earn,24
eight,24
expensive,24
generation,24
grey,24
how,24
illegal,24
joke,24
kiss,24
lion,24
logical,24
lunch,24
lyric,24
no,24
novel,24
orphan,24
owner,24
predict,24
pretend,24
remember,24
retire,24
sauce,24
self,24
sick,24
soda,24
spend,24
